,Make,Model,Year of Manufacture,Color,Price,Location,Trim,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Interior Color,Seats,Registered Car,Second Condition,Body,Exchange Possible,VIN Chassis number
130,Nissan,Frontier,2008,Red,8000000.0,Lagos,,,,,,,,No,,,,
131,Toyota,Camry,2020,White,38500000.0,Lagos,XSE FWD,Front Wheel,2500cc,4,206hp,Black,5,No,No faults,Sedan,No,
132,Lexus,RX 350,2015,Silver,28550000.0,Lagos,,,,,,,,No,"Unpainted, No faults, Original parts",,,
133,Mercedes-Benz,GLK-Class,2012,Gray,18500000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,Black,5,No,No faults,SUV,,
134,Lexus,GX,2022,White,110000000.0,Lagos,,,,,,Black,,No,No faults,,No,
135,Mercedes-Benz,GLA 250,2016,Black,28500000.0,Lagos,,,,,,Beige,,No,"No faults, Unpainted, Original parts",,,
136,Toyota,Yaris,2006,Black,5200000.0,Abuja,,,,,,Black,,Yes,,,,
137,Toyota,Camry,2013,Gray,13050000.0,Lagos,SE 4dr Sedan (2.5L 4cyl 6A),Front,2500cc,4,178hp,Black,5,No,,Sedan,,
138,Geely,Coolray,2024,White,78000000.0,Lagos,1.5 FWD,Front Wheel,1500cc,3,150hp,Black,5,Yes,,SUV,Yes,
139,Toyota,Highlander,2017,Brown,45000000.0,Lagos,Limited 4x4 V6 (3.5L 6cyl 8A),All Wheel,3500cc,6,295hp,Gray,7-8,No,No faults,SUV,,
140,Lexus,RX,2016,Red,45000000.0,Lagos,350 AWD,All Wheel,3500cc,6,295hp,Brown,5,No,"No faults, Unpainted, Original parts",SUV,,
141,Toyota,Tacoma,2008,Blue,14550000.0,Lagos,4x4 Double Cab,All Wheel,4000cc,6,239hp,Other,5,,"No faults, Unpainted, Original parts",Pickup,,
142,Toyota,Tundra,2018,Red,41800000.0,Lagos,,,,,,Black,,No,"Unpainted, No faults",,,
143,Lexus,RX,2017,White,44000000.0,Lagos,350 AWD,All Wheel,3500cc,6,295hp,Other,5,No,"No faults, Unpainted, Original parts",SUV,,
144,Ford,Focus,2013,Gray,9500000.0,Abuja,SE Sedan FWD (2.0L 4cyl 5M),Front Wheel,2000cc,4,,Gray,,,No faults,Sedan,,
145,Hozon,Neta Aya,2024,White,37500000.0,Lagos,,,,,,Black,,Yes,,,No,LUZAGBGA9PA******
146,Toyota,Tundra,2022,Black,165000000.0,Lagos,,,,,,Brown,,No,No faults,,,
147,Lexus,GX,2015,Black,43000000.0,Lagos,460 Luxury,4x4,4600cc,8,301hp,Black,7,No,No faults,SUV,No,
148,Mercedes-Benz,GLE-Class,2018,White,48000000.0,Lagos,GLE 350d 4MATIC,All Wheel,3000cc,6,254hp,Black,5,No,No faults,SUV,,
149,Mercedes-Benz,GLK-Class,2012,Silver,15000000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,Black,5,No,"No faults, Unpainted",SUV,,
150,Mercedes-Benz,GLA 250,2017,Blue,27800000.0,Lagos,,,,,,,,No,No faults,,,
151,Lexus,RX 350,2020,Gold,72000000.0,Abuja,,,,,,Black,,,No faults,,,
152,Lexus,ES,2015,Blue,21850000.0,Lagos,350 FWD,Front Wheel,3500cc,6,268hp,Beige,5,No,Unpainted,Sedan,,
153,Toyota,Highlander,2013,Green,20750000.0,Lagos,Limited 3.5L 2WD,Front Wheel,3500cc,6,270hp,Black,5,,No faults,SUV,,
154,Toyota,Sienna,2018,Gray,35000000.0,Lagos,LE AWD (3.5L 6cyl 8A),All Wheel,3500cc,6,296hp,,7,No,No faults,Minivan,,
155,Lexus,RX,2011,Black,21500000.0,Lagos,350,,3500cc,6,279hp,Other,5,,"No faults, Unpainted",SUV,,
156,Land Rover,Discovery Sport,2015,Gray,43500000.0,Lagos,HSE,,,,,Beige,,No,"No faults, Original parts, First owner",,No,
157,Mercedes-Benz,M Class,2012,Blue,28500000.0,Lagos,ML 350 BlueTEC 4Matic,All Wheel,3000cc,6,240hp,Other,5,,"No faults, Unpainted",SUV,,
158,Lexus,RX,2017,Black,52000000.0,Lagos,300 4WD,All Wheel,2000cc,4,238hp,Brown,5,No,No faults,SUV,Yes,
159,Mercedes-Benz,GLE-Class,2019,White,55000000.0,Lagos,GLE 350 4MATIC,All Wheel,2000cc,4,255hp,Beige,5,No,No faults,SUV,,
160,Toyota,Venza,2013,Gray,22500000.0,Lagos,XLE AWD V6,All Wheel,3500cc,6,268hp,Black,5,No,No faults,Crossover,No,
161,Toyota,Corolla,2013,Gray,12200000.0,Lagos,LE Special Edition 4dr Sedan (1.8L 4cyl 4A),Front,1800cc,4,132hp,Other,,No,No faults,Sedan,No,
162,Land Rover,Discovery Sport,2015,Gray,43500000.0,Lagos,HSE,,,,,Beige,,No,"No faults, Original parts, First owner",,No,
163,Mercedes-Benz,M Class,2012,Blue,28500000.0,Lagos,ML 350 BlueTEC 4Matic,All Wheel,3000cc,6,240hp,Other,5,,"No faults, Unpainted",SUV,,
164,Mercedes-Benz,GLK-Class,2014,White,25000000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,302hp,Black,5,No,No faults,SUV,No,
165,Lexus,GX,2012,Black,38500000.0,Lagos,460 Premium,All Wheel,4600cc,8,305hp,Black,7,No,"No faults, Unpainted, Original parts",SUV,,
166,Land Rover,Range Rover Velar,2018,Gray,57500000.0,Abuja,,,,,,Black,,No,No faults,,,
167,Lexus,RX 350,2013,Black,27000000.0,Lagos,,,,,,Brown,,Yes,No faults,,,
168,Land Rover,Range Rover Sport,2016,Blue,21850000.0,Lagos,HSE 4x4 (3.0L 6cyl 8A),All Wheel,3000cc,6,340hp,Other,5,No,No faults,SUV,Yes,
169,Mercedes-Benz,GLK-Class,2014,Black,24000000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,302hp,Beige,5,No,"Original parts, Unpainted, No faults",SUV,No,
170,Lexus,GX,2013,Gray,18000000.0,Lagos,,,,,,Gray,,,No faults,,,
