,Make,Model,Year of Manufacture,Color,Price,Location,Trim,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Interior Color,Seats,Registered Car,Second Condition,Body,Exchange Possible,VIN Chassis number
270,Mercedes-Benz,M Class,2014,Black,32000000.0,Lagos,ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,Black,5,No,No faults,SUV,No,
271,Mercedes-Benz,C300,2012,Red,12000000.0,Lagos,Luxury 4Matic Sedan AWD (3.0L 6cyl 7A),All Wheel,3000cc,6,228hp,Black,5,No,No faults,Sedan,No,
272,Lexus,ES,2010,Blue,14800000.0,Lagos,350,,,,,Other,,No,No faults,,,
273,Mercedes-Benz,GLC-Class,2018,Black,57500000.0,Lagos,,,,,,Black,,Yes,,,,
274,Land Rover,Discovery Sport,2022,Black,43000000.0,Abuja,S,,,,,Black,,,No faults,,,
275,Mitsubishi,Pajero,2020,Black,78000000.0,Abuja,,,,,,Black,,No,,,,
276,Toyota,Camry,2012,Gold,15500000.0,Lagos,,,,,,,,,No faults,,,
277,Lexus,RX 350,2012,Black,19900000.0,Lagos,,,,,,Other,,No,No faults,,,
278,Lexus,RX,2020,Blue,58000000.0,Lagos,350 2WD,Front Wheel,3500cc,6,295hp,Gray,5,No,No faults,SUV,,
279,Toyota,Sequoia,2015,Gray,27500000.0,Lagos,Platinum 4dr SUV (5.7L 8cyl 6A),Rear Wheel,5700cc,8,381hp,,,No,"First owner, Unpainted",SUV,,
280,Mercedes-Benz,M Class,2012,White,24500000.0,Lagos,,,,,,Brown,,,No faults,,,
281,Mercedes-Benz,GLK-Class,2012,Blue,18500000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,Violet,5,No,"No faults, Unpainted, Original parts",SUV,No,
282,Mercedes-Benz,GLC-Class,2019,White,33500000.0,Abuja,,,,,,Other,,Yes,No faults,,Yes,
283,Acura,MDX,2013,White,10500000.0,Lagos,Advance Package SUV AWD (3.7L 6cyl 6A),All Wheel,3700cc,6,300hp,Purple,7,No,No faults,SUV,,
284,Toyota,Sienna,2005,Gold,8800000.0,Lagos,LE AWD,All Wheel,3300cc,6,233hp,Other,7,No,"Original parts, No faults",Minivan,,
285,Lexus,RX,2011,Black,21500000.0,Lagos,350,,3500cc,6,279hp,Other,5,,"No faults, Unpainted",SUV,,
286,Lexus,RX,2017,White,45000000.0,Lagos,350 AWD,All Wheel,3500cc,6,295hp,Other,5,No,"No faults, Unpainted, Original parts",SUV,,
287,Lexus,RX,2012,White,19550000.0,Lagos,350 AWD,,,,,Other,,No,No faults,SUV,Yes,
288,Mercedes-Benz,GLC-Class,2017,Gray,45000000.0,Lagos,"GLC300 Off-Road Sport Utility 4-Door (2.0L, 4cyl Turbo)",,2000cc,4,,Black,,,"No faults, Unpainted",,,
289,Toyota,Tundra,2017,Black,43000000.0,Lagos,,,,,,Other,,No,No faults,,No,
290,Honda,Civic,2008,Black,5500000.0,Abuja,,,,,,Gray,,No,No faults,,,
291,Mercedes-Benz,GLE-Class,2018,White,45300000.0,Lagos,GLE 350d 4MATIC,All Wheel,3000cc,6,254hp,Beige,5,No,No faults,SUV,No,
292,Toyota,Highlander,2018,Black,41500000.0,Lagos,XLE 4x2 V6 (3.5L 6cyl 8A),Front Wheel,3500cc,6,295hp,Black,7-8,No,No faults,SUV,No,
293,Lexus,GX,2012,Black,38500000.0,Lagos,460 Premium,All Wheel,4600cc,8,305hp,Black,7,No,"No faults, Unpainted, Original parts",SUV,,
294,Lexus,RX,2014,Red,25500000.0,Lagos,350 AWD,All Wheel,3500cc,6,270hp,Black,5,,No faults,SUV,,
295,Mercedes-Benz,C300,2013,Gray,13500000.0,Lagos,Sport 4Matic Sedan AWD (3.5L 6cyl 7A),All Wheel,3500cc,6,248hp,Black,5,No,No faults,Sedan,,
296,Lexus,ES,2014,Black,23000000.0,Lagos,350 FWD,Front Wheel,3500cc,6,268hp,Beige,5,No,"Original parts, Unpainted, No faults",Sedan,Yes,
297,Mercedes-Benz,GLA 250,2015,Silver,19900000.0,Abuja,,,,,,Black,,Yes,No faults,,,
298,Mercedes-Benz,M Class,2010,Silver,13500000.0,Lagos,,,,,,Other,,No,"No faults, Unpainted",,,
299,Toyota,Highlander,2018,Black,36000000.0,Lagos,XLE 4x4 V6 (3.5L 6cyl 8A),All Wheel,3500cc,6,295hp,Gray,7-8,No,No faults,SUV,No,
300,Lexus,RX,2016,Red,45000000.0,Lagos,350 AWD,All Wheel,3500cc,6,295hp,,5,No,No faults,SUV,,
301,Mercedes-Benz,GLC-Class,2018,White,37000000.0,Lagos,,,,,,Violet,,,No faults,,,
302,Mercedes-Benz,M Class,2008,Black,10500000.0,Lagos,ML 350 4Matic,All Wheel,3500cc,6,268hp,Other,5,No,"Original parts, Unpainted, No faults",SUV,No,
303,Lexus,RX 350,2013,White,26000000.0,Lagos,,,,,,Brown,,No,No faults,,,
304,Mercedes-Benz,GLK-Class,2012,Red,15000000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,Black,5,No,"No faults, Unpainted, Original parts",SUV,,
305,Honda,Accord,2014,Gray,13500000.0,Abuja,Sport 4dr Sedan (2.4L 4cyl CVT),Front Wheel,2400cc,4,189hp,Other,5,No,No faults,Sedan,Yes,
306,Mercedes-Benz,E350,2013,Blue,14500000.0,Abuja,,,,,,Other,,Yes,No faults,,Yes,
307,Toyota,Camry,2016,Black,19000000.0,Abuja,XLE V6 4dr Sedan (3.6L 6cyl 6A),Front,3600cc,6,268hp,,5,No,"No faults, Unpainted, Original parts",Sedan,,
308,Mercedes-Benz,GLE-Class,2016,Blue,42500000.0,Lagos,GLE 350,,,,,White,,No,No faults,,No,
309,Lexus,RX,2017,Gold,47000000.0,Lagos,350 AWD,All Wheel,3500cc,6,295hp,Black,5,No,"Original parts, Unpainted, No faults",SUV,No,
310,Lexus,RX,2017,Black,49500000.0,Lagos,350 AWD,All Wheel,,6,,,5,No,,SUV,,
311,Lexus,RX,2017,Brown,49000000.0,Lagos,350 AWD,All Wheel,3500cc,6,295hp,Beige,5,No,No faults,SUV,,
312,Toyota,Tundra,2017,Gray,37000000.0,Lagos,Limited 5.7L V8 w/FFV 4x2 Double Cab 6.6 ft. box 145.7 in. WB,4x2,5700cc,8,381hp,Gray,5,No,"No faults, Unpainted, Original parts",Pickup,,
313,Lexus,GX,2016,Burgundy,54000000.0,Lagos,460 Base,4x4,4600cc,8,301hp,Other,7,No,"No faults, Unpainted, Original parts",SUV,,
314,Toyota,Highlander,2013,White,19500000.0,Abuja,,,,,,Other,,No,No faults,,Yes,
315,Mercedes-Benz,M Class,2015,Black,29500000.0,Lagos,ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,Gray,5,No,No faults,SUV,,
316,Toyota,Tacoma,2009,Green,15800000.0,Lagos,,,,,,,,Yes,,,,
317,Mercedes-Benz,GLK-Class,2012,Silver,15500000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,Black,5,No,"No faults, Unpainted",SUV,,
318,Lexus,RX,2015,Gold,32800000.0,Lagos,350 FWD,Front Wheel,3500cc,6,270hp,White,5,No,"Original parts, Unpainted, No faults",SUV,No,
319,Lexus,GX,2014,White,54000000.0,Lagos,460 Luxury,4x4,4600cc,8,301hp,Other,7,No,No faults,SUV,,
320,Lexus,RX 350,2009,Other,14500000.0,Lagos,,,,,,Brown,,No,No faults,,No,
321,Toyota,Highlander,2018,Black,43000000.0,Lagos,Limited 4x2 V6 (3.5L 6cyl 8A),Front Wheel,3500cc,6,295hp,Other,7-8,,No faults,SUV,,
322,Toyota,Highlander,2018,Gold,31500000.0,Abuja,XLE 4x2 V6 (3.5L 6cyl 8A),Front Wheel,3500cc,6,295hp,Other,7-8,No,No faults,SUV,Yes,
323,Hyundai,Sonata,2016,Burgundy,18500000.0,Lagos,,,,,,Black,,No,No faults,,Yes,
324,Toyota,Sienna,2013,White,18500000.0,Lagos,,,,,,,,,,,,
325,Toyota,Avalon,2015,Gold,24000000.0,Lagos,XLE 4dr Sedan (3.5L 6cyl 6A),Front Wheel,3500cc,6,268hp,Other,5,No,No faults,Sedan,,
326,Mercedes-Benz,GLC-Class,2018,Silver,46000000.0,Lagos,,,,,,Black,,No,,,Yes,
327,Mercedes-Benz,GLK-Class,2010,Silver,18000000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,Black,5,No,"Original parts, Unpainted, No faults",SUV,No,
328,Mercedes-Benz,GLA 250,2016,Gray,30000000.0,Lagos,,,,,,Black,,No,"No faults, Unpainted, Original parts",,,
329,Toyota,Corolla,2013,Black,13900000.0,Abuja,S Special Edition 4dr Sedan (1.8L 4cyl 4A),Front,1800cc,4,132hp,Other,,No,No faults,Sedan,Yes,
330,Land Rover,Range Rover Evoque,2021,Black,72500000.0,Lagos,R-Dynamic HSE,,,,,Red,,,,,No,
331,Lexus,IS,2007,Black,7400000.0,Lagos,,,,,,Gray,,Yes,First registration,,Yes,
332,Lexus,GX,2016,Black,60000000.0,Lagos,460 Luxury,4x4,4600cc,8,301hp,,7,No,"Unpainted, No faults",SUV,,
333,Mercedes-Benz,M Class,2014,Gray,31500000.0,Lagos,ML550 4MATIC 4dr SUV AWD (4.7L 8cyl Turbo 7A),All Wheel,4700cc,8,402hp,Black,5,No,Original parts,SUV,,
334,Mercedes-Benz,GLC-Class,2017,Gray,45000000.0,Lagos,"GLC300 Base Sport Utility 4-Door (2.0L, 4cyl Turbo)",,2000cc,4,,Black,,,"Original parts, No faults",,,
335,Lexus,RX,2011,White,21000000.0,Lagos,,,,,,Brown,,No,No faults,,,
336,Lexus,RX 350,2015,Silver,28000000.0,Lagos,,,,,,Black,,No,,,,
337,Toyota,Highlander,2017,White,30000000.0,Lagos,XLE 4x2 V6 (3.5L 6cyl 8A),Front Wheel,3500cc,6,295hp,Gray,7-8,No,No faults,SUV,,
338,Mercedes-Benz,C400,2015,Gray,26500000.0,Abuja,4Matic AWD Sedan (3.0L V6 7A),All Wheel,3000cc,6,,Black,,Yes,No faults,Sedan,,
339,Toyota,Corolla,2015,Black,10500000.0,Lagos,,,,,,,,Yes,,,No,
340,Lexus,RX,2014,Silver,25500000.0,Lagos,350 AWD,All Wheel,,6,270hp,Black,5,No,"Original parts, Unpainted, No faults",SUV,,
341,Lexus,RX,2013,Gray,25500000.0,Lagos,350 FWD,All Wheel,3500cc,6,270hp,,5,No,"Original parts, Unpainted, No faults",SUV,,
342,Lexus,LX,2023,Gold,385000000.0,Lagos,,,,,,Black,,,No faults,,,
343,Lexus,RX,2014,Gold,25900000.0,Lagos,,,,,,White,,No,"Original parts, Unpainted, No faults",,No,
344,Lexus,GX,2012,White,35800000.0,Lagos,460,All Wheel,4600cc,8,305hp,Other,7,No,"Original parts, Unpainted, No faults",SUV,No,
345,Mercedes-Benz,GLK-Class,2015,Red,28500000.0,Abuja,,,,,,Other,,No,,,,
346,Mercedes-Benz,GLK-Class,2014,Black,25000000.0,Lagos,,,,,,Black,,No,No faults,,No,
347,Toyota,Land Cruiser,2012,Black,41500000.0,Lagos,4.0 V6 GX-R,4x4,4000cc,6,271hp,Brown,8,Yes,"No faults, Unpainted, Original parts",SUV,,
348,Lexus,RX,2015,Gold,26800000.0,Lagos,,,,,,,,No,Unpainted,,,
349,Toyota,Highlander,2017,Black,39000000.0,Lagos,XLE 4x4 V6 (3.5L 6cyl 8A),All Wheel,3500cc,6,295hp,Black,7-8,No,"Original parts, Unpainted, No faults",SUV,,
350,Lexus,GX,2013,Gray,46000000.0,Lagos,460 Premium,,4600cc,8,301hp,Other,7,,"Original parts, Unpainted, No faults",SUV,,
351,Mercedes-Benz,M Class,2014,White,28500000.0,Lagos,ML350 BlueTEC 4MATIC 4dr SUV AWD (3.0L 6cyl Turbodiesel 7A),All Wheel,3000cc,6,240hp,Gray,5,,"No faults, Unpainted",SUV,,
352,Volkswagen,Tiguan,2018,Other,25300000.0,Abuja,,,,,,Other,,,No faults,,,
353,Mercedes-Benz,GLE-Class,2017,Silver,42000000.0,Lagos,GLE 350,,,,,Black,,No,No faults,,No,
354,Mercedes-Benz,C300,2010,Silver,8500000.0,Abuja,Sport Sedan RWD (3.0L 6cyl 6M),Rear Wheel,3000cc,6,228hp,Black,5,Yes,No faults,Sedan,Yes,
355,Lexus,GX,2014,Gray,48000000.0,Lagos,460 Luxury,4x4,4600cc,8,301hp,Black,7,No,No faults,SUV,,
356,Toyota,Highlander,2012,Gray,22500000.0,Lagos,,,,,,Other,,No,,,,
357,Toyota,Highlander,2015,Brown,34000000.0,Lagos,XLE 4dr SUV AWD (3.5L 6cyl 6A),All Wheel,3500cc,6,270hp,Black,7-8,No,"Original parts, Unpainted, No faults",SUV,,
358,Lexus,RX,2015,Gray,27800000.0,Lagos,350 FWD,Front Wheel,3500cc,6,270hp,Black,5,No,"Original parts, Unpainted, No faults",SUV,No,
359,Lexus,GX,2014,Black,43500000.0,Lagos,,,,,,Other,,,No faults,,,
360,Lexus,GX,2012,Gray,33000000.0,Lagos,460 Premium,All Wheel,4600cc,8,305hp,,7,,"No faults, Unpainted",SUV,,
361,Toyota,Corolla,2017,Gray,16500000.0,Abuja,,,,,,Other,,Yes,,,,
362,Toyota,Camry,2008,Gold,14000000.0,Lagos,XLE V6 4dr Sedan (3.5L 6cyl 6AM),Front,3500cc,6,268hp,Brown,5,No,No faults,Sedan,,
363,Mercedes-Benz,C300,2014,Silver,16000000.0,Lagos,,,,,,,,No,No faults,,,
364,Mercedes-Benz,GLK-Class,2014,Black,24500000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,302hp,Other,5,,No faults,SUV,,
365,Lexus,GX,2017,Black,55000000.0,Lagos,460 Base,4x4,4600cc,8,301hp,Brown,7,No,No faults,SUV,,
366,Toyota,Highlander,2012,White,15800000.0,Lagos,Limited,Front Wheel,3500cc,6,274hp,Other,5,No,"Original parts, Unpainted, No faults",SUV,No,
367,Lexus,RX,2012,Silver,22800000.0,Lagos,350 AWD,,,,,White,,No,"Original parts, Unpainted, No faults",SUV,No,
368,Lexus,RX,2018,Black,60000000.0,Lagos,,,,,,Other,,No,"No faults, Unpainted",,,
369,Mercedes-Benz,GLA 250,2017,Black,26300000.0,Abuja,,,,,,Black,,,No faults,,,
370,Toyota,4-Runner,2013,Gray,36000000.0,Lagos,Limited 4X4,All Wheel,4000cc,6,270hp,Black,5,No,No faults,SUV,Yes,
371,Toyota,Highlander,2015,Black,28500000.0,Lagos,XLE 4dr SUV AWD (3.5L 6cyl 6A),All Wheel,3500cc,6,270hp,Black,7-8,No,"No faults, Unpainted, Original parts",SUV,,
372,Mercedes-Benz,GLK-Class,2015,White,23000000.0,Lagos,Base GLK 350 4dr AWD 4MATIC (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,Other,5,No,"Original parts, Unpainted, No faults",SUV,No,
373,Lexus,RX,2017,Gray,48000000.0,Lagos,350 F Sport FWD,Front Wheel,3500cc,6,295hp,Red,5,No,Original parts,SUV,Yes,
374,Toyota,Highlander,2018,Brown,38500000.0,Lagos,XLE 4x4 V6 (3.5L 6cyl 8A),All Wheel,3500cc,6,295hp,Black,7-8,No,No faults,SUV,,
375,Toyota,Highlander,2011,Black,19900000.0,Lagos,,,,,,Black,,No,"Unpainted, No faults",,,
376,Mercedes-Benz,GLE-Class,2020,Black,88600000.0,Lagos,GLE 350 4MATIC,All Wheel,2000cc,4,255hp,Black,5,No,No faults,SUV,Yes,
377,Hyundai,Sonata,2013,Blue,11300000.0,Lagos,GLS Sedan FWD (2.4L 4cyl 6A),Front Wheel,2400cc,4,,Other,,,No faults,Sedan,,
378,Toyota,Sienna,2018,Gray,35000000.0,Lagos,LE AWD (3.5L 6cyl 8A),All Wheel,3500cc,6,296hp,,7,No,No faults,Minivan,,
379,Mercedes-Benz,GLK-Class,2011,Black,18000000.0,Lagos,350,Rear Wheel,,6,,,5,No,,SUV,,
380,Mercedes-Benz,GLK-Class,2010,Gray,15500000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,Other,5,No,"Original parts, Unpainted, No faults",SUV,No,
381,Lexus,GX,2015,Red,57500000.0,Lagos,,,,,,White,,No,"No faults, Unpainted",,,
382,Lexus,GX,2021,Black,90000000.0,Lagos,460,,,,,Red,,No,No faults,,No,
383,Mercedes-Benz,GLE-Class,2021,Black,105000000.0,Lagos,AMG GLE 53 4MATIC,All Wheel,3000cc,6,429hp,Beige,5,No,"No faults, Unpainted, Original parts",SUV,Yes,
384,Mercedes-Benz,E350,2020,Black,132000000.0,Abuja,,,,,,Black,,No,No faults,,,
385,Toyota,Camry,2013,Black,11000000.0,Lagos,LE 4dr Sedan (2.5L 4cyl 6A),Front,2500cc,4,178hp,Gray,5,Yes,No faults,Sedan,,
386,Lexus,RX 350,2017,Black,67000000.0,Lagos,,,,,,Red,,No,No faults,,,
387,Toyota,RAV4,2017,White,24000000.0,Lagos,,,,,,Black,,No,"No faults, Unpainted",,,
388,Mercedes-Benz,M Class,2011,Black,11500000.0,Lagos,ML 350 BlueTEC 4Matic,All Wheel,3000cc,6,210hp,Beige,5,No,Unpainted,SUV,,
389,Lexus,RX,2012,Gray,21500000.0,Lagos,,,,,,,,No,No faults,,,
390,Mercedes-Benz,M Class,2014,Black,22700000.0,Abuja,,,,,,,,,,,,
391,Mercedes-Benz,M Class,2015,Black,32000000.0,Lagos,ML400 4MATIC 4dr SUV AWD (3.0L 6cyl Turbo 7A),All Wheel,3000cc,6,329hp,Black,5,No,No faults,SUV,No,
392,Mercedes-Benz,GLK-Class,2011,Black,19000000.0,Lagos,,,,,,,,No,No faults,,,
393,Lexus,RX 350,2012,Black,22999999.0,Lagos,,,,,,,,,,,,
394,Mercedes-Benz,GLK-Class,2013,White,22500000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,302hp,Gray,5,No,No faults,SUV,,
395,Lexus,ES,2010,Gray,14000000.0,Lagos,350,Front,,6,,,5,No,"No faults, Unpainted, Original parts",Sedan,No,
396,Lexus,GX,2013,Black,34000000.0,Lagos,,,,,,Black,,No,No faults,,,
397,Mercedes-Benz,GLC-Class,2018,White,45000000.0,Lagos,,,,,,,,No,No faults,,Yes,
398,Mercedes-Benz,GLK-Class,2015,Red,25800000.0,Abuja,Base GLK 350 4dr 4x2 (3.5L 6cyl 7A),Rear Wheel,3500cc,6,302hp,Beige,5,,No faults,SUV,,
399,Lexus,NX,2023,Silver,76000000.0,Abuja,,,,,,Other,,,"Unpainted, No faults",,,
400,Hyundai,Sonata,2013,White,10500000.0,Lagos,,,,,,Black,,No,"Original parts, No faults",,,
401,Toyota,Highlander,2018,Gray,36500000.0,Lagos,,,,,,Other,,No,,,,
402,Lexus,GX,2014,Beige,53000000.0,Lagos,460 Luxury,4x4,4600cc,8,301hp,Black,7,No,,SUV,No,
403,Mercedes-Benz,GLK-Class,2012,Black,17800000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,Black,5,No,"Original parts, Unpainted, No faults",SUV,No,
404,Mercedes-Benz,GLC-Class,2016,White,45500000.0,Lagos,"GLC300 Base Sport Utility 4-Door (2.0L, 4cyl Turbo)",,2000cc,4,,Brown,,No,"Original parts, Unpainted, No faults",,No,
405,Lexus,GX,2019,Burgundy,55500000.0,Lagos,460 Luxury,4x4,4600cc,8,301hp,Black,7,No,"Original parts, Unpainted, No faults",SUV,,
406,Lexus,GX,2012,Red,38000000.0,Lagos,460,All Wheel,4600cc,8,305hp,Other,7,No,No faults,SUV,,
407,Toyota,Corolla,2018,Gray,15000000.0,Abuja,LE Eco (1.8L 4cyl 2A),Front,1800cc,4,140hp,Gray,5,,No faults,Sedan,,
408,Mercedes-Benz,GLK-Class,2014,White,23500000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,302hp,Beige,5,No,No faults,SUV,,
409,Toyota,Highlander,2021,Black,67000000.0,Lagos,XSE,Front Wheel,3500cc,6,295hp,Red,7,,"No faults, Unpainted, Original parts",SUV,,
410,Lexus,ES,2011,Black,13800000.0,Lagos,350,Front,,6,,Other,5,No,"No faults, Unpainted",Sedan,,
411,Toyota,Camry,2013,Black,15000000.0,Lagos,SE 4dr Sedan (2.5L 4cyl 6A),Front,2500cc,4,178hp,Black,5,No,No faults,Sedan,,
412,Lexus,RX 350,2012,Silver,21500000.0,Lagos,,,,,,Black,,No,No faults,,,
413,Mercedes-Benz,M Class,2012,Black,28500000.0,Lagos,ML 350 4Matic,All Wheel,3500cc,6,302hp,Gray,5,No,No faults,SUV,,
414,Toyota,C-HR,2018,Blue,25500000.0,Kano,,,,,,,,,After crash,,,
415,Mercedes-Benz,GLE-Class,2016,Red,60000000.0,Lagos,,,,,,,,No,"Original parts, Unpainted, No faults",,,
416,Toyota,Highlander,2005,Black,5800000.0,Lagos,Limited V6,,3300cc,6,233hp,Other,7,Yes,First owner,SUV,,
417,Lexus,ES,2008,White,11500000.0,Lagos,350,Front,,6,,Other,5,No,"No faults, Original parts",Sedan,,
418,Toyota,Highlander,2012,Gray,17250000.0,Lagos,Limited,Front Wheel,3500cc,6,274hp,Black,5,No,,SUV,,
419,Lexus,RX,2013,Red,28500000.0,Lagos,350 FWD,All Wheel,3500cc,6,270hp,Black,5,No,No faults,SUV,,
420,Mercedes-Benz,GLC-Class,2017,White,37000000.0,Lagos,"GLC300 4Matic Sport Utility 4-Door (2.0L, 4cyl Turbo)",,2000cc,4,,Black,,No,No faults,,,
421,Lexus,RX,2017,White,45000000.0,Lagos,350 AWD,All Wheel,3500cc,6,295hp,Beige,5,No,"Unpainted, No faults",SUV,No,
422,Lexus,LS,2010,Black,15000000.0,Lagos,460,Rear Wheel,4600cc,8,385hp,,5,No,,Sedan,,
423,Mercedes-Benz,GLE-Class,2020,Gold,140000000.0,Lagos,GLE 350 4MATIC,All Wheel,2000cc,4,255hp,Beige,5,No,"Unpainted, No faults, Original parts",SUV,Yes,
424,Toyota,Highlander,2015,White,32000000.0,Lagos,,,,,,Other,,Yes,,,,
425,Mercedes-Benz,M Class,2012,White,26000000.0,Lagos,ML 350 4Matic,All Wheel,3500cc,6,302hp,Beige,5,No,No faults,SUV,No,
426,Lexus,RX,2015,Silver,28500000.0,Lagos,350 F Sport AWD,All Wheel,3500cc,6,270hp,Gray,5,No,"Original parts, Unpainted, No faults",SUV,No,
427,Lexus,GX,2015,Black,53000000.0,Lagos,460 Luxury,4x4,4600cc,8,301hp,Black,7,,"No faults, Original parts",SUV,,
428,Toyota,Tacoma,2011,Gold,19000000.0,Lagos,,,,,,Other,,No,"No faults, Unpainted, Original parts",,,
429,Lexus,RX 330,2006,Gold,13999999.0,Abuja,,,,,,,,,,,,
430,Lexus,LX,2013,Gold,40000000.0,Lagos,570 AWD,,,,,,,Yes,"Original parts, No faults",,,
431,Toyota,Tacoma,2020,White,38000000.0,Lagos,,,,,,Black,,No,No faults,,No,
432,Mercedes-Benz,GLE-Class,2017,White,39500000.0,Lagos,GLE 350d 4MATIC,All Wheel,3000cc,6,254hp,Black,5,No,No faults,SUV,No,
433,Mercedes-Benz,GLK-Class,2014,Black,25000000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,302hp,,5,,No faults,SUV,,
434,Lexus,RX 350,2017,Black,46000000.0,Lagos,,,,,,Other,,,No faults,,,
435,Mercedes-Benz,GLK-Class,2014,White,26000000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,302hp,Black,5,No,"No faults, Unpainted, Original parts",SUV,,
436,Mercedes-Benz,GLC-Class,2018,White,45800000.0,Lagos,,,,,,Black,,No,No faults,,,
437,Kia,Forte,2016,White,17000000.0,Abuja,,,,,,Black,,No,,,,
438,Mercedes-Benz,GLK-Class,2010,White,11250000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,Beige,5,,"Unpainted, No faults",SUV,,
439,Toyota,Camry,2008,Silver,9700000.0,Lagos,2.4 SE,Front,,,158hp,Black,5,No,"No faults, Unpainted",,No,
440,Lexus,ES,2015,Silver,23500000.0,Lagos,350 FWD,Front Wheel,3500cc,6,268hp,Other,5,No,"Original parts, Unpainted, No faults",Sedan,No,
441,Lexus,ES,2011,Blue,17500000.0,Lagos,350,Front,,6,,Gray,5,No,"Unpainted, No faults",Sedan,,
442,Mercedes-Benz,GLC-Class,2018,Black,82000000.0,Lagos,,,,,,Other,,No,"No faults, Original parts, Unpainted",,No,
443,Mercedes-Benz,GLC-Class,2019,White,40000000.0,Lagos,,,,,,Beige,,,No faults,,,
444,Lexus,RX,2013,Black,24800000.0,Lagos,,,,,,Other,,No,"Unpainted, No faults",,,
445,Toyota,Highlander,2018,Gray,40500000.0,Lagos,Limited Platinum 4x4 V6 (3.5L 6cyl 8A),All Wheel,3500cc,6,295hp,Black,7-8,No,No faults,SUV,,
446,Acura,MDX,2013,Black,11300000.0,Lagos,Advance Package SUV AWD (3.7L 6cyl 6A),All Wheel,3700cc,6,300hp,Purple,7,No,No faults,SUV,,
447,Toyota,Highlander,2018,Silver,34999999.0,Lagos,,,,,,,,,,,,
448,Mercedes-Benz,GLK-Class,2012,Black,15850000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,,5,No,"No faults, Unpainted, Original parts",SUV,,
449,Mercedes-Benz,M Class,2014,Black,28000000.0,Lagos,ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,Brown,5,No,No faults,SUV,,
450,Lexus,RX,2010,Blue,21500000.0,Lagos,350,,3500cc,6,279hp,Brown,5,No,,SUV,No,
451,Mercedes-Benz,M Class,2015,Silver,31500000.0,Lagos,ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,Gray,5,No,No faults,SUV,,
452,Lexus,GX,2014,White,45000000.0,Lagos,460 Luxury,4x4,4600cc,8,301hp,Black,7,No,No faults,SUV,No,
453,Toyota,Camry,2018,Green,25500000.0,Abuja,,,,,,Other,,No,No faults,,Yes,
454,Hyundai,Sonata,2015,Silver,17500000.0,Lagos,Limited w/Brown Leather PZEV 4dr Sedan (2.4L 4cyl 6A),Front Wheel,2400cc,4,185hp,,,No,,Sedan,,
455,Lexus,RX 350,2013,Gray,28000000.0,Lagos,,,,,,Black,,No,,,,
456,Mercedes-Benz,M Class,2015,White,26000000.0,Lagos,ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,Beige,5,No,"Original parts, Unpainted, No faults",SUV,Yes,
457,Lexus,GX,2011,Black,32000000.0,Lagos,460 Premium,All Wheel,4600cc,8,305hp,,7,No,First owner,SUV,Yes,
458,Toyota,Avalon,2015,Blue,21000000.0,Lagos,Limited 4dr Sedan (3.5L 6cyl 6A),Front Wheel,3500cc,6,268hp,Black,5,No,No faults,Sedan,,
459,Toyota,Tacoma,2018,Gray,36500000.0,Lagos,Limited,,3500cc,6,278hp,Black,5,No,"Unpainted, No faults",Pickup,No,
460,Mercedes-Benz,GLK-Class,2015,Blue,26000000.0,Lagos,Base GLK 350 4dr AWD 4MATIC (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,White,5,No,No faults,SUV,,
461,Mercedes-Benz,GLA-Class,2016,Gray,27400000.0,Lagos,"GLA250 4Matic Sport Utility 4-Door (2.0L, 4cyl Turbo)",,2000cc,4,,Gray,,No,No faults,,Yes,
462,Mercedes-Benz,GLE-Class,2019,Gray,85000000.0,Lagos,GLE 350 4MATIC,All Wheel,2000cc,4,255hp,Brown,5,No,"No faults, Original parts, First owner",SUV,Yes,
463,Mercedes-Benz,GLE-Class,2017,Black,42500000.0,Lagos,GLE 350,,,,,Black,,No,No faults,,,
464,Lexus,RX 350,2015,White,27000000.0,Lagos,,,,,,,,,No faults,,,
